Date,Open,High,Low
2014-12-31,310.914001,320.192993,310.210999
2015-01-01,320.434998,320.434998,314.002991
2015-01-02,314.079010,315.838989,313.565002
2015-01-03,314.846008,315.149994,281.082001
2015-01-04,281.145996,287.230011,257.612000
2015-01-05,265.084015,278.341003,265.084015
2015-01-06,274.610992,287.553009,272.696014
2015-01-07,286.076996,298.753998,283.079010
2015-01-08,294.135010,294.135010,282.174988
2015-01-09,282.382996,291.114014,280.532990
2015-01-10,287.303009,288.127014,273.966003
2015-01-11,274.608002,279.638000,265.039001
2015-01-12,266.145996,272.203003,265.200012
2015-01-13,267.394012,268.277008,219.906006
2015-01-14,223.893997,223.893997,171.509995
2015-01-15,176.897003,229.067001,176.897003
2015-01-16,209.070007,221.591003,199.770996
2015-01-17,207.834000,211.731003,194.875000
2015-01-18,200.050003,218.695007,194.505997
2015-01-19,211.470993,216.727997,207.317993
2015-01-20,212.906998,215.240997,205.153000
2015-01-21,211.378006,227.787994,211.212006
2015-01-22,227.322006,237.018997,226.434006
2015-01-23,233.516998,234.845001,225.195999
2015-01-24,232.699997,248.210007,230.022003
2015-01-25,247.352005,255.074005,243.889999
2015-01-26,254.078995,309.384003,254.078995
2015-01-27,273.166992,275.480011,250.653000
2015-01-28,263.351013,266.535004,227.046005
2015-01-29,233.348007,238.705994,220.712006
2015-01-30,232.772003,242.850998,225.839005
2015-01-31,226.440994,233.503998,216.309006
2015-02-01,216.867004,231.574005,212.014999
2015-02-02,226.490997,242.175003,222.658997
2015-02-03,237.453995,245.957001,224.483002
2015-02-04,227.511002,230.057999,221.113007
2015-02-05,227.664993,239.404999,214.725006
2015-02-06,216.923004,230.509995,216.231995
2015-02-07,222.632996,230.298996,222.606995
2015-02-08,227.692993,229.438004,221.076996
2015-02-09,223.389008,223.977005,217.018997
2015-02-10,220.281998,221.807007,215.332001
2015-02-11,219.731995,223.406006,218.074005
2015-02-12,219.207993,222.199005,217.613998
2015-02-13,221.968994,240.259003,221.261993
2015-02-14,235.528000,259.808014,235.528000
2015-02-15,257.506989,265.610992,227.684006
2015-02-16,234.824997,239.520996,229.022003
2015-02-17,233.421997,245.774994,232.313995
2015-02-18,243.779999,244.251007,232.339996
2015-02-19,236.410004,242.671997,235.591995
2015-02-20,240.251007,247.100998,239.298996
2015-02-21,243.751999,255.320007,243.184006
2015-02-22,244.544006,246.391998,233.850998
2015-02-23,235.994995,240.108994,232.421005
2015-02-24,238.998001,239.901001,236.401993
2015-02-25,238.889999,239.339996,235.529999
2015-02-26,237.337006,237.710007,234.257004
2015-02-27,236.436005,256.653015,236.436005
2015-02-28,253.520004,254.692001,249.479004
2015-03-01,254.283005,261.660004,245.932999
2015-03-02,260.356995,276.300995,258.312988
2015-03-03,275.045990,285.795990,268.161011
2015-03-04,281.989990,284.225006,268.126007
2015-03-05,272.739014,281.666992,264.769012
2015-03-06,275.600006,277.608002,270.015015
2015-03-07,272.294006,277.854004,270.132996
2015-03-08,276.433014,277.858002,272.565002
2015-03-09,274.812012,292.700989,273.893005
2015-03-10,289.862000,300.044006,289.743011
2015-03-11,291.524994,297.390991,290.507996
2015-03-12,296.127014,297.088013,292.412994
2015-03-13,294.118011,294.497986,285.337006
2015-03-14,284.441986,286.342010,280.976013
2015-03-15,281.424988,286.528992,280.996002
2015-03-16,285.684998,294.112000,285.684998
2015-03-17,290.595001,292.364990,284.373993
